Symbol,Date,Close
AAPL,1/2/2019,39.48
AAPL,1/3/2019,35.55
AAPL,1/4/2019,37.07
AAPL,1/7/2019,36.98
AAPL,1/8/2019,37.69
AAPL,1/9/2019,38.33
AAPL,1/10/2019,38.45
AAPL,1/11/2019,38.07
AAPL,1/14/2019,37.5
AAPL,1/15/2019,38.27
AAPL,1/16/2019,38.74
AAPL,1/17/2019,38.97
AAPL,1/18/2019,39.21
AAPL,1/22/2019,38.33
AAPL,1/23/2019,38.48
AAPL,1/24/2019,38.17
AAPL,1/25/2019,39.44
AAPL,1/28/2019,39.08
AAPL,1/29/2019,38.67
AAPL,1/30/2019,41.31
AAPL,1/31/2019,41.61
AAPL,2/1/2019,41.63
AAPL,2/4/2019,42.81
AAPL,2/5/2019,43.55
AAPL,2/6/2019,43.56
AAPL,2/7/2019,42.74
AAPL,2/8/2019,42.6
AAPL,2/11/2019,42.36
AAPL,2/12/2019,42.72
AAPL,2/13/2019,42.55
AAPL,2/14/2019,42.7
AAPL,2/15/2019,42.61
AAPL,2/19/2019,42.73
AAPL,2/20/2019,43.01
AAPL,2/21/2019,42.77
AAPL,2/22/2019,43.24
AAPL,2/25/2019,43.56
AAPL,2/26/2019,43.58
AAPL,2/27/2019,43.72
AAPL,2/28/2019,43.29
AAPL,3/1/2019,43.74
AAPL,3/4/2019,43.96
AAPL,3/5/2019,43.88
AAPL,3/6/2019,43.63
AAPL,3/7/2019,43.13
AAPL,3/8/2019,43.23
AAPL,3/11/2019,44.73
AAPL,3/12/2019,45.23
AAPL,3/13/2019,45.43
AAPL,3/14/2019,45.93
AAPL,3/15/2019,46.53
AAPL,3/18/2019,47.01
AAPL,3/19/2019,46.63
AAPL,3/20/2019,47.04
AAPL,3/21/2019,48.77
AAPL,3/22/2019,47.76
AAPL,3/25/2019,47.19
AAPL,3/26/2019,46.7
AAPL,3/27/2019,47.12
AAPL,3/28/2019,47.18
AAPL,3/29/2019,47.49
AAPL,4/1/2019,47.81
AAPL,4/2/2019,48.51
AAPL,4/3/2019,48.84
AAPL,4/4/2019,48.92
AAPL,4/5/2019,49.25
AAPL,4/8/2019,50.03
AAPL,4/9/2019,49.88
AAPL,4/10/2019,50.16
AAPL,4/11/2019,49.74
AAPL,4/12/2019,49.72
AAPL,4/15/2019,49.81
AAPL,4/16/2019,49.81
